epoch_min,loss_rate,benign_density_rpa_per_min,contrast,metric,n,mean,sd,ci95_low,ci95_high
15,0.0,5000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.391865,0.044557,-0.412719,-0.371012
15,0.0,5000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,64.512,40.637069,45.493266,83.530734
15,0.0,5000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.432275,0.103929,0.383634,0.480915
15,0.0,5000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.432275,0.103929,0.383634,0.480915
15,0.0,5000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.427004,0.103895,-0.475628,-0.37838
15,0.0,5000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,67.536,50.35754,43.967946,91.104054
15,0.2,100.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.298096,0.028536,0.284741,0.311451
15,0.2,100.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.371702,0.034306,0.355646,0.387758
15,0.2,100.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.365621,0.034328,-0.381687,-0.349555
15,0.2,100.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,140.112,55.297539,114.231955,165.992045
15,0.2,100.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.335992,0.077432,0.299752,0.372231
15,0.2,100.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.41957,0.099186,0.373149,0.46599
15,0.2,100.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.413247,0.099003,-0.459582,-0.366912
15,0.2,100.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,170.352,89.318009,128.549885,212.154115
15,0.2,1000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.287174,0.024195,0.275851,0.298498
15,0.2,1000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.359161,0.029641,0.345288,0.373033
15,0.2,1000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.353812,0.029166,-0.367462,-0.340162
15,0.2,1000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,121.968,37.843302,104.25679,139.67921
15,0.2,1000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.291079,0.037996,0.273296,0.308861
15,0.2,1000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.364225,0.049084,0.341253,0.387197
15,0.2,1000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.358581,0.048719,-0.381382,-0.33578
15,0.2,1000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,119.952,46.469381,98.20366,141.70034
15,0.2,5000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.310459,0.034933,0.29411,0.326809
15,0.2,5000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.387879,0.042563,0.367959,0.407799
15,0.2,5000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.382578,0.042478,-0.402459,-0.362698
15,0.2,5000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,62.496,41.830242,42.918844,82.073156
15,0.2,5000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.321332,0.073276,0.287038,0.355626
15,0.2,5000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.401707,0.092277,0.358521,0.444894
15,0.2,5000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.396089,0.092497,-0.439379,-0.3528
15,0.2,5000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,74.592,56.68246,48.063792,101.120208
15,0.4,100.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.222303,0.028228,0.209092,0.235514
15,0.4,100.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.369275,0.046313,0.3476,0.39095
15,0.4,100.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.363769,0.046787,-0.385666,-0.341872
15,0.4,100.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,128.016,44.972237,106.968345,149.063655
15,0.4,100.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.217322,0.034659,0.201101,0.233543
15,0.4,100.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.360827,0.055315,0.334938,0.386715
15,0.4,100.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.354803,0.055549,-0.380801,-0.328806
15,0.4,100.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,132.048,52.111081,107.659263,156.436737
15,0.4,1000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.217623,0.018286,0.209065,0.226181
15,0.4,1000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.362281,0.031616,0.347484,0.377077
15,0.4,1000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.357386,0.031879,-0.372306,-0.342466
15,0.4,1000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,113.904,40.465632,94.965501,132.842499
15,0.4,1000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.208556,0.016533,0.200819,0.216294
15,0.4,1000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.346859,0.023804,0.335718,0.358
15,0.4,1000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.341636,0.023886,-0.352814,-0.330457
15,0.4,1000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,100.8,41.367447,81.439439,120.160561
15,0.4,5000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.218722,0.02273,0.208084,0.22936
15,0.4,5000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.364944,0.036849,0.347698,0.38219
15,0.4,5000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.359731,0.035835,-0.376503,-0.34296
15,0.4,5000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,56.448,26.649114,43.975831,68.920169
